ID Number,City Name,State,Depth,Excecution Time,Cost,Nodes Expanded
0952210,Newington CDP,Connecticut,5,0.003989219665527344,94.24036305025433,244
0952280,New London city,Connecticut,3,0.000997304916381836,64.5105822589846,120
0952560,New Milford CDP,Connecticut,6,0.02094411849975586,133.45861407232627,761
0952770,New Preston CDP,Connecticut,6,0.015957355499267578,130.6973135757865,697
0952910,Newtown borough,Connecticut,6,0.019454240798950195,130.8781255807643,687
0953120,Niantic CDP,Connecticut,3,0.0019943714141845703,70.3326003875808,127
0953260,Noank CDP,Connecticut,3,0.000997781753540039,59.746849377419395,121
0953400,Norfolk CDP,Connecticut,6,0.003989458084106445,120.2425707934259,225
0954660,North Granby CDP,Connecticut,5,0.002991914749145508,102.22257388946352,191
0954730,North Grosvenor Dale CDP,Connecticut,3,0.0009970664978027344,54.556413501330496,170
